@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs-1 {0,1,2,3,4,5}

@data
65,'2018/05/07 14:44:58:807',66,165,89,1
66,'2018/05/07 14:44:59:243',67,165,144,1
67,'2018/05/07 14:44:59:913',68,165,237,1
68,'2018/05/07 14:45:00:231',69,165,277,1
69,'2018/05/07 14:45:02:308',70,294,116,2
70,'2018/05/07 14:45:02:706',71,288,186,2
71,'2018/05/07 14:45:02:930',72,288,201,2
72,'2018/05/07 14:45:03:198',73,288,235,2
73,'2018/05/07 14:45:03:458',74,288,251,2
74,'2018/05/07 14:45:03:688',75,304,302,2
75,'2018/05/07 14:45:04:823',76,425,342,3
76,'2018/05/07 14:45:05:194',77,420,251,3
77,'2018/05/07 14:45:05:445',78,420,174,3
78,'2018/05/07 14:45:05:634',79,420,169,3
79,'2018/05/07 14:45:06:305',80,420,104,3
